Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
DS 412 (P),2020-01-31,8:30:00,2020-01-31,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-31,9:30:00,2020-01-31,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-01-31,10:30:00,2020-01-31,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-31,11:30:00,2020-01-31,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-31,12:30:00,2020-01-31,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-01-31,14:30:00,2020-01-31,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-31,15:30:00,2020-01-31,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-31,16:30:00,2020-01-31,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-02-03,15:30:00,2020-02-03,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-02-04,9:30:00,2020-02-04,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-04,10:30:00,2020-02-04,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-04,11:30:00,2020-02-04,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-04,14:30:00,2020-02-04,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-02-04,15:30:00,2020-02-04,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-05,9:30:00,2020-02-05,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-05,10:30:00,2020-02-05,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-02-05,14:30:00,2020-02-05,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-02-06,8:30:00,2020-02-06,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
