Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CS 491 (L),2020-02-10,12:30:00,2020-02-10,13:30:00,FALSE,Natural Language Processing,LT 212,FALSE
MGT 401 (L),2020-02-10,15:30:00,2020-02-10,16:30:00,FALSE,Entrepreneurship,LT 221,FALSE
MGT 401 (L),2020-02-10,16:30:00,2020-02-10,17:30:00,FALSE,Entrepreneurship,LT 221,FALSE
CS 491 (L),2020-02-11,8:30:00,2020-02-11,9:30:00,FALSE,Natural Language Processing,LT 201,FALSE
CS 392 (P),2020-02-11,9:30:00,2020-02-11,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-11,10:30:00,2020-02-11,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-11,11:30:00,2020-02-11,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-11,14:30:00,2020-02-11,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
MFIN 006 (L),2020-02-11,16:30:00,2020-02-11,17:30:00,FALSE,Financial Instruments and Markets,CR 111,FALSE
CS 392 (L),2020-02-12,8:30:00,2020-02-12,9:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-12,9:30:00,2020-02-12,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-12,10:30:00,2020-02-12,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
DS 412 (P),2020-02-12,11:30:00,2020-02-12,12:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-12,12:30:00,2020-02-12,13:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
MGT 401 (L),2020-02-12,14:30:00,2020-02-12,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 491 (L),2020-02-13,10:30:00,2020-02-13,11:30:00,FALSE,Natural Language Processing,LT 202,FALSE
CS 491 (P),2020-02-13,11:30:00,2020-02-13,12:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 491 (P),2020-02-13,12:30:00,2020-02-13,13:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 3112 (P),2020-02-13,14:30:00,2020-02-13,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-13,15:30:00,2020-02-13,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-13,16:30:00,2020-02-13,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-14,8:30:00,2020-02-14,9:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-14,9:30:00,2020-02-14,10:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
CS 392 (P),2020-02-14,10:30:00,2020-02-14,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-14,11:30:00,2020-02-14,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-14,12:30:00,2020-02-14,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-14,14:30:00,2020-02-14,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-14,15:30:00,2020-02-14,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-14,16:30:00,2020-02-14,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MFIN 006 (L),2020-02-17,11:30:00,2020-02-17,12:30:00,FALSE,Financial Instruments and Markets,CR 112,FALSE
CS 491 (L),2020-02-17,12:30:00,2020-02-17,13:30:00,FALSE,Natural Language Processing,LT 212,FALSE
MGT 401 (L),2020-02-17,15:30:00,2020-02-17,16:30:00,FALSE,Entrepreneurship,LT 221,FALSE
MGT 401 (L),2020-02-17,16:30:00,2020-02-17,17:30:00,FALSE,Entrepreneurship,LT 221,FALSE
CS 491 (L),2020-02-18,8:30:00,2020-02-18,9:30:00,FALSE,Natural Language Processing,LT 201,FALSE
CS 392 (P),2020-02-18,9:30:00,2020-02-18,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-18,10:30:00,2020-02-18,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-18,11:30:00,2020-02-18,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-18,14:30:00,2020-02-18,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
MFIN 006 (L),2020-02-18,16:30:00,2020-02-18,17:30:00,FALSE,Financial Instruments and Markets,CR 111,FALSE
CS 392 (L),2020-02-19,8:30:00,2020-02-19,9:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-19,9:30:00,2020-02-19,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-19,10:30:00,2020-02-19,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
DS 412 (P),2020-02-19,11:30:00,2020-02-19,12:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-19,12:30:00,2020-02-19,13:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
MGT 401 (L),2020-02-19,14:30:00,2020-02-19,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 491 (L),2020-02-20,10:30:00,2020-02-20,11:30:00,FALSE,Natural Language Processing,LT 202,FALSE
CS 491 (P),2020-02-20,11:30:00,2020-02-20,12:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 491 (P),2020-02-20,12:30:00,2020-02-20,13:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 3112 (P),2020-02-20,14:30:00,2020-02-20,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-20,15:30:00,2020-02-20,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-20,16:30:00,2020-02-20,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-21,8:30:00,2020-02-21,9:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-21,9:30:00,2020-02-21,10:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
CS 392 (P),2020-02-21,10:30:00,2020-02-21,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-21,11:30:00,2020-02-21,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-21,12:30:00,2020-02-21,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-21,14:30:00,2020-02-21,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-21,15:30:00,2020-02-21,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-21,16:30:00,2020-02-21,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MFIN 006 (L),2020-02-24,11:30:00,2020-02-24,12:30:00,FALSE,Financial Instruments and Markets,CR 112,FALSE
CS 491 (L),2020-02-24,12:30:00,2020-02-24,13:30:00,FALSE,Natural Language Processing,LT 212,FALSE
MGT 401 (L),2020-02-24,15:30:00,2020-02-24,16:30:00,FALSE,Entrepreneurship,LT 221,FALSE
MGT 401 (L),2020-02-24,16:30:00,2020-02-24,17:30:00,FALSE,Entrepreneurship,LT 221,FALSE
CS 491 (L),2020-02-25,8:30:00,2020-02-25,9:30:00,FALSE,Natural Language Processing,LT 201,FALSE
CS 392 (P),2020-02-25,9:30:00,2020-02-25,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-25,10:30:00,2020-02-25,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-25,11:30:00,2020-02-25,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-25,14:30:00,2020-02-25,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
MFIN 006 (L),2020-02-25,16:30:00,2020-02-25,17:30:00,FALSE,Financial Instruments and Markets,CR 111,FALSE
CS 392 (L),2020-02-26,8:30:00,2020-02-26,9:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-26,9:30:00,2020-02-26,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-26,10:30:00,2020-02-26,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
DS 412 (P),2020-02-26,11:30:00,2020-02-26,12:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-26,12:30:00,2020-02-26,13:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
MGT 401 (L),2020-02-26,14:30:00,2020-02-26,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 491 (L),2020-02-27,10:30:00,2020-02-27,11:30:00,FALSE,Natural Language Processing,LT 202,FALSE
CS 491 (P),2020-02-27,11:30:00,2020-02-27,12:30:00,FALSE,Natural Language Processing,FRL,FALSE
